id,building,column_1_based,row_1_based,width,height,note
park-9-2,Park,10,3,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-2,Park,15,3,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-2,Park,20,3,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-2,Park,25,3,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-2,Park,30,3,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-3,Park,10,4,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-3,Park,15,4,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-3,Park,20,4,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-3,Park,25,4,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-3,Park,30,4,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-4,Park,10,5,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-4,Park,15,5,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-4,Park,20,5,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-4,Park,25,5,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-4,Park,30,5,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-16,Park,10,17,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-16,Park,15,17,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-16,Park,20,17,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-16,Park,25,17,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-16,Park,30,17,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-17,Park,10,18,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-17,Park,15,18,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-17,Park,20,18,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-17,Park,25,18,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-17,Park,30,18,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-18,Park,10,19,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-18,Park,15,19,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-18,Park,20,19,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-18,Park,25,19,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-18,Park,30,19,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-19,Park,10,20,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-19,Park,15,20,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-19,Park,20,20,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-19,Park,25,20,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-19,Park,30,20,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-9-20,Park,10,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-10-20,Park,11,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-11-20,Park,12,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-12-20,Park,13,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-13-20,Park,14,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-20,Park,15,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-15-20,Park,16,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-16-20,Park,17,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-17-20,Park,18,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-18-20,Park,19,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-20,Park,20,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-20-20,Park,21,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-21-20,Park,22,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-22-20,Park,23,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-23-20,Park,24,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-20,Park,25,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-25-20,Park,26,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-26-20,Park,27,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-27-20,Park,28,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-28-20,Park,29,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-29-20,Park,30,21,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-5,Park,15,6,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-6,Park,15,7,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-7,Park,15,8,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-8,Park,15,9,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-5,Park,20,6,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-6,Park,20,7,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-7,Park,20,8,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-8,Park,20,9,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-5,Park,25,6,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-6,Park,25,7,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-7,Park,25,8,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-8,Park,25,9,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-12,Park,15,13,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-13,Park,15,14,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-14,Park,15,15,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-14-15,Park,15,16,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-12,Park,20,13,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-13,Park,20,14,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-14,Park,20,15,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-19-15,Park,20,16,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-12,Park,25,13,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-13,Park,25,14,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-14,Park,25,15,1,1,One ordinary park tile. Keep this space green; it is not a road.
park-24-15,Park,25,16,1,1,One ordinary park tile. Keep this space green; it is not a road.
road,Continuous road,1,11,43,1,"Build first, including beneath the Agora."
roadblock-0,Roadblock,2,11,1,1,Place on existing road. Keep city intersections outside.
roadblock-1,Roadblock,42,11,1,1,Place on existing road. Keep city intersections outside.
boulevard,Boulevard with both planted verges,11,10,19,3,Existing road is the middle row. Keep verges clear.
