id,milestone,priority,status,depends_on,deliverable,acceptance
M5-01,M5,P1,planned,M1-07;M3-01,Headless authoritative simulation worker,Worker loads a template applies commands advances time and snapshots state
M5-02,M5,P1,planned,M5-01,Global identity world schema and engine-local mapping,Accounts cities worlds and workers have unambiguous ownership and routing
M5-03,M5,P1,planned,M5-01;M5-02,Versioned authenticated command protocol,Unauthorized duplicate stale and impossible commands are rejected
M5-04,M5,P1,planned,M5-02,Online clock and offline progression policy,Pause speed disconnect and time advancement have explicit server rules
M5-05,M5,P1,planned,M5-03;M5-04,Snapshots recovery and worker ownership,Restart resumes committed state and prevents duplicate city owners
M5-06,M5,P1,planned,M5-05,Transactional city and world inventory handoff,Crashes and retries cannot create duplicate transfers or lose committed resources
M5-07,M5,P1,planned,M5-05;M2-04,Browser online snapshots and resynchronization,Client reconnects to authoritative state without trusting uploaded saves
M5-08,M5,P1,planned,M5-06;M5-07,Authority and worker cost acceptance,Recovery command validation and measured simulation cost are documented
M6-01,M6,P2,planned,M5-08,Small persistent world and city founding,Two accounts own separate server-issued cities on the same world
M6-02,M6,P2,planned,M6-01;M3-05,Secure live world connections,Authenticated clients receive updates and recover after connection loss
M6-03,M6,P2,planned,M6-01;M5-06,Complete trade workflow,Offers reservations acceptance cancellation and expiry preserve inventories
M6-04,M6,P2,planned,M6-02;M6-03,Two-player multiplayer acceptance,Trade races duplicate requests disconnections and server restart preserve the same committed result
M7-01,M7,P3,planned,M6-04,Larger world model and identifier audit,Regions routes and additional cities work beyond current preset assumptions
M7-02,M7,P3,planned,M7-01,Measured capacity tiers and world subscriptions,Only relevant world data is sent and a tested scale is documented
M7-03,M7,P3,planned,M6-04,Alliances diplomacy and aid,Ownership membership and resource transfers remain consistent through recovery
M7-04,M7,P3,planned,M7-03,World events and travel scheduling,Timed events survive restarts and execute committed effects once
M7-05,M7,P3,planned,M7-02;M7-04,Optional server-resolved conflict prototype,Combat and offline protection rules are agreed and tested before PvP release
M8-01,M8,P1,planned,M3-05,Versioned deployment and release manifests,Web Wasm API and data versions deploy reproducibly
M8-02,M8,P1,planned,M8-01;M3-04,Save migration and rollback rehearsal,Old saves are preserved and compatible upgrade or rollback is demonstrated
M8-03,M8,P2,planned,M6-04;M8-01,World operations monitoring and restoration,World recovery backup restore and reconnect are rehearsed in staging
M8-04,M8,P2,planned,M8-03,Load test and hosting budget,Declared concurrency meets measured simulation latency memory and cost budgets
M8-05,M8,P2,planned,M0-05;M8-02;M8-04,Release onboarding asset provision and source notices,Distribution inputs and user recovery documentation are ready for the intended audience
M8-06,M8,P2,planned,M8-05,Hosted beta acceptance,Chosen release scope passes its milestone gates with linked evidence
